Timestamp,Inner_Env,Outer_Env,Index_Dist,Mid_Dist,Ring_Dist,Pinky_Dist
1775545080.7505534,2234.0,506.34,0.22249168335063355,0.27933527916799133,0.28959766906394874,0.33362532708252884
1775545080.791051,2234.0,506.22,0.21571775253800746,0.27390208604715116,0.28270098346874545,0.3328959687561882
1775545080.8305933,2234.0,505.88,0.22142602453042254,0.27502156941944333,0.28240425269387853,0.32964288092949223
1775545080.8662443,2234.0,505.8,0.22092865081315666,0.2744120874222434,0.2809350690155432,0.329615853389641
1775545080.8948233,2234.0,505.42,0.22306081676635484,0.277272437125438,0.281003785812917,0.3289608718330262
1775545080.9264693,2234.0,505.46,0.2195518743690132,0.27590090472703044,0.28047472451326844,0.3297566544595368
1775545080.9580727,2234.0,505.02,0.2196967032374296,0.2778795068852635,0.28183848013024654,0.3290554470686268
1775545080.990266,2234.0,504.66,0.21918497630399972,0.2764972223996933,0.28383001303770466,0.3287487553053235
1775545081.0272012,2234.0,552.6,0.22005248677439887,0.27449221064245427,0.2786101900464032,0.3245713007572536
1775545081.0549595,2234.0,600.32,0.21874507398037485,0.27179770583515117,0.27772673387197017,0.32627908776969683
1775545081.0862172,2234.0,603.24,0.22189854899604103,0.2728372600184676,0.27836804300543827,0.3282049692080733
1775545081.1104617,2234.0,608.46,0.21872357648168328,0.2756326116669567,0.28134934845398474,0.32815293170954374
1775545081.14801,2234.0,615.12,0.2178867990545396,0.2751185203452943,0.28282697809942964,0.32887890360209004
1775545081.1730378,2234.0,608.54,0.21740285870899193,0.275392604312469,0.28095958186027553,0.32806855909300486
1775545081.20079,2234.0,610.64,0.2166158581769859,0.2733683987157081,0.28050252420343585,0.32792917451074854
1775545081.2285552,2234.0,618.78,0.21868987917798854,0.2750832059309743,0.2798760568742219,0.32570199082320955
1775545081.2563243,2234.0,611.08,0.21960104595432992,0.27496326429514795,0.2786035431549901,0.32321025432280603
1775545081.2842543,2234.0,624.36,0.21975447677115564,0.2752601151010817,0.2786542764080611,0.32558511831681136
1775545081.31195,2234.0,616.32,0.219801926884127,0.2741218549881856,0.2775747915841173,0.3246850540551707
1775545081.346647,2234.0,631.72,0.22005487648483069,0.27672818302590674,0.28082391803714885,0.3264470411027271
